Name,PlayoffGames,PlayoffABs,PlayoffRuns,PlayoffHits,Playoff2B,Playoff3B,PlayoffHR,PlayoffRBI,PlayoffBB,PlayoffSO,PlayoffBA,PlayoffOBP,PlayoffSLG,PlayoffOPS,PlayoffSB,PlayoffCS,PlayoffE,PlayoffWPA,PlayoffcWPA,RSGames,RSABs,RSRuns,RSHits,RSHR,RSRBI,RSSB,RSBA,RSOPS
Christian Arroyo\arroych01,6,19,3,4,0,1,1,3,0,4,.211,.211,.474,.684,0,0,0,-0.07,-1.46%,57,164,22,43,6,25,1,.262,.769
Xander Bogaerts\bogaexa01,6,26,2,5,2,0,1,2,2,10,.192,.250,.385,.635,0,0,0,-0.11,-2.09%,144,529,90,156,23,79,5,.295,.863
Ryan Brasier\brasiry01,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,2,0,0,0,0,0,0,,
Bobby Dalbec\dalbebo01,3,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,-0.04,-0.83%,133,417,50,100,25,78,2,.240,.792
Rafael Devers*\deverra01,6,24,7,7,0,0,3,6,3,2,.292,.370,.667,1.037,0,0,1,-0.11,-2.03%,156,591,101,165,38,113,5,.279,.890
Nathan Eovaldi\eovalna01,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,1,2,1,0,0,0,0,.000,.333
Darwinzon Hernandez*\hernada02,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,5,0,0,0,0,0,0,,
Enrique Hernandez\hernaen02,6,26,4,10,1,1,3,3,0,4,.385,.407,.846,1.254,0,0,0,0.04,-0.50%,134,508,84,127,20,60,1,.250,.786
Tanner Houck\houckta01,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,1,1,0,0,0,0,0,.000,.000
J.D. Martinez\martijd02,6,17,3,4,1,0,2,6,5,9,.235,.435,.647,1.082,0,0,,0.43,7.86%,148,570,92,163,28,99,0,.286,.867
Adam Ottavino#\ottavad01,4,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,6,0,0,0,0,0,0,,
Martin Perez*\perezma02,4,0,0,0,0,0,0,0,0,0,,,,,0,0,1,0.00,0.00%,2,3,0,0,0,0,0,.000,.000
Nick Pivetta\pivetni01,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,2,2,0,0,0,0,0,.000,.000
Kevin Plawecki\plaweke01,3,3,1,0,0,0,0,0,1,0,.000,.250,.000,.250,0,0,0,-0.02,-0.37%,64,157,15,45,3,15,0,.287,.737
Hunter Renfroe\renfrhu01,6,16,2,1,1,0,0,1,4,8,.063,.250,.125,.375,1,0,0,-0.18,-4.64%,144,521,89,135,31,96,1,.259,.816
Hansel Robles\robleha01,3,0,0,0,0,0,0,0,0,0,,,,,0,0,1,0.00,0.00%,*4,0,0,0,0,0,0,,
Eduardo Rodriguez*\rodried05,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,4,6,0,0,0,0,0,.000,.000
Chris Sale*\salech01,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,1,1,0,0,0,0,0,.000,.000
Danny Santana#\santada01,3,3,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,-0.09,-1.63%,38,116,15,21,5,14,4,.181,.597
Hirokazu Sawamura\sawamhi01,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,4,0,0,0,0,0,0,,
Kyle Schwarber*\schwaky01,6,25,2,3,1,0,1,4,2,7,.120,.185,.280,.465,0,0,1,-0.17,-3.04%,*113,399,76,106,32,71,1,.266,.928
Travis Shaw*\shawtr01,3,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,-0.16,-2.97%,*84,220,20,44,9,39,0,.200,.659
Josh Taylor*\taylojo02,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,3,0,0,0,0,0,0,,
Christian Vazquez\vazquch01,6,15,2,3,1,0,0,2,1,3,.200,.250,.267,.517,0,0,0,-0.07,-1.32%,138,458,51,118,6,49,8,.258,.659
Alex Verdugo*\verdual01,6,19,2,5,1,0,0,0,5,1,.263,.417,.316,.732,1,1,0,-0.11,-2.70%,146,544,88,157,13,63,6,.289,.777
Garrett Whitlock\whitlga01,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,4,2,0,1,0,0,0,.500,1.000
