Name,PlayoffGames,PlayoffGS,PlayoffERA,PlayoffW,PlayoffL,PlayoffSV,PlayoffCG,PlayoffIP,PlayoffHits,PlayoffRuns,PlayoffER,PlayoffBB,PlayoffSO,PlayoffWHIP,PlayoffWPA,PlayoffcWPA,RSGames,RSGS,RSERA,RSW,RSL,RSSV,RSIP,RSH,RSBB,RSSO,RSWHIP
Ryan Brasier\brasiry01,3,0,13.50,0,0,0,0,1.1,4,2,2,0,1,3.000,-0.07,-2.13%,13,0,1.50,1,1,0,12.0,12,4,9,1.333
Nathan Eovaldi\eovalna01,3,2,6.97,1,2,0,0,10.1,12,8,8,4,9,1.548,-0.19,-4.11%,32,32,3.75,11,9,0,182.1,182,35,195,1.190
Darwinzon Hernandez*\hernada02,2,0,13.50,0,0,0,0,1.1,2,2,2,1,3,2.250,0.00,0.04%,48,0,3.38,2,2,0,40.0,29,31,54,1.500
Tanner Houck\houckta01,2,0,10.80,0,0,0,0,3.1,4,4,4,0,2,1.200,-0.20,-3.21%,18,13,3.52,1,5,1,69.0,57,21,87,1.130
Adam Ottavino\ottavad01,4,0,3.00,0,0,0,0,3.0,3,1,1,0,3,1.000,0.12,1.86%,69,0,4.21,7,3,11,62.0,55,35,71,1.452
Martin Perez*\perezma02,4,0,12.00,0,0,0,0,3.0,6,5,4,4,0,3.333,-0.14,-3.05%,36,22,4.74,7,8,0,114.0,136,36,97,1.509
Nick Pivetta\pivetni01,1,1,1.80,0,0,0,0,5.0,2,1,1,2,3,0.800,0.21,3.59%,31,30,4.53,9,8,1,155.0,137,65,175,1.303
Hansel Robles\robleha01,3,0,3.38,0,1,0,0,2.2,3,2,1,1,1,1.500,-0.16,-2.34%,*72,0,4.43,3,5,14,69.0,58,37,76,1.377
Eduardo Rodriguez*\rodried05,1,1,4.50,1,0,0,0,6.0,5,3,3,0,7,0.833,0.14,2.39%,32,31,4.74,13,8,0,157.2,172,47,185,1.389
Chris Sale*\salech01,2,2,3.38,0,1,0,0,8.0,8,5,3,3,9,1.375,-0.04,-1.31%,9,9,3.16,5,1,0,42.2,45,12,52,1.336
Hirokazu Sawamura\sawamhi01,3,0,4.50,0,0,0,0,2.0,2,1,1,2,2,2.000,-0.08,-1.10%,55,0,3.06,5,1,0,53.0,45,32,61,1.453
Josh Taylor*\taylojo02,3,0,4.50,0,0,0,0,2.0,3,1,1,0,1,1.500,0.04,0.56%,61,0,3.40,1,0,1,47.2,45,23,60,1.427
Garrett Whitlock\whitlga01,2,0,2.25,0,0,0,0,4.0,3,1,1,1,2,1.000,0.01,0.07%,46,0,1.96,8,4,2,73.1,64,17,81,1.105
