Name,PlayoffGames,PlayoffABs,PlayoffRuns,PlayoffHits,Playoff2B,Playoff3B,PlayoffHR,PlayoffRBI,PlayoffBB,PlayoffSO,PlayoffBA,PlayoffOBP,PlayoffSLG,PlayoffOPS,PlayoffSB,PlayoffCS,PlayoffE,PlayoffWPA,PlayoffcWPA,RSGames,RSABs,RSRuns,RSHits,RSHR,RSRBI,RSSB,RSBA,RSOPS
Christian Arroyo\arroych01,4,16,1,5,1,0,0,0,0,2,.313,.313,.375,.688,0,0,0,-0.03,-0.23%,57,164,22,43,6,25,1,.262,.769
Matt Barnes\barnema01,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,6,0,0,0,0,0,0,,
Xander Bogaerts\bogaexa01,4,18,3,6,0,0,1,2,1,3,.333,.368,.500,.868,0,0,0,-0.04,-1.02%,144,529,90,156,23,79,5,.295,.863
Ryan Brasier\brasiry01,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,2,0,0,0,0,0,0,,
Bobby Dalbec\dalbebo01,4,6,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,-0.26,-2.52%,133,417,50,100,25,78,2,.240,.792
Austin Davis*\davisau01,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,*11,0,0,0,0,0,0,,
Rafael Devers*\deverra01,4,18,3,6,0,0,2,6,2,5,.333,.400,.667,1.067,0,0,0,0.15,2.11%,156,591,101,165,38,113,5,.279,.890
Nathan Eovaldi\eovalna01,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,1,2,1,0,0,0,0,.000,.333
Enrique Hernandez\hernaen02,4,20,4,9,3,0,2,6,0,2,.450,.429,.900,1.329,0,0,0,0.26,2.92%,134,508,84,127,20,60,1,.250,.786
Tanner Houck\houckta01,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,1,1,0,0,0,0,0,.000,.000
J.D. Martinez\martijd02,3,15,1,7,1,0,1,4,0,1,.467,.467,.733,1.200,0,0,,0.04,0.13%,148,570,92,163,28,99,0,.286,.867
Adam Ottavino#\ottavad01,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,6,0,0,0,0,0,0,,
Nick Pivetta\pivetni01,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,2,2,0,0,0,0,0,.000,.000
Kevin Plawecki\plaweke01,1,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,-0.13,-1.63%,64,157,15,45,3,15,0,.287,.737
Hunter Renfroe\renfrhu01,4,17,2,5,1,0,0,0,2,2,.294,.368,.353,.721,0,0,0,-0.38,-4.25%,144,521,89,135,31,96,1,.259,.816
Garrett Richards\richaga01,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,4,5,0,1,0,1,0,.200,.600
Hansel Robles\robleha01,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,*4,0,0,0,0,0,0,,
Eduardo Rodriguez*\rodried05,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,4,6,0,0,0,0,0,.000,.000
Chris Sale*\salech01,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,1,1,0,0,0,0,0,.000,.000
Danny Santana#\santada01,2,0,2,0,0,0,0,0,0,0,,,,,0,0,,0.00,0.00%,38,116,15,21,5,14,4,.181,.597
Kyle Schwarber*\schwaky01,4,16,4,5,0,0,1,1,2,4,.313,.389,.500,.889,1,0,1,0.19,2.48%,*113,399,76,106,32,71,1,.266,.928
Travis Shaw*\shawtr01,1,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,0,,0.14,1.78%,*84,220,20,44,9,39,0,.200,.659
Josh Taylor*\taylojo02,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,3,0,0,0,0,0,0,,
Christian Vazquez\vazquch01,4,16,3,6,0,0,1,4,0,3,.375,.375,.563,.938,0,0,0,0.32,3.92%,138,458,51,118,6,49,8,.258,.659
Alex Verdugo*\verdual01,4,19,3,6,1,0,1,3,0,2,.316,.316,.526,.842,0,0,0,0.28,2.80%,146,544,88,157,13,63,6,.289,.777
Garrett Whitlock\whitlga01,2,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,4,2,0,1,0,0,0,.500,1.000
