Name,PlayoffGames,PlayoffABs,PlayoffRuns,PlayoffHits,Playoff2B,Playoff3B,PlayoffHR,PlayoffRBI,PlayoffBB,PlayoffSO,PlayoffBA,PlayoffOBP,PlayoffSLG,PlayoffOPS,PlayoffSB,PlayoffCS,PlayoffE,PlayoffWPA,PlayoffcWPA,RSGames,RSABs,RSRuns,RSHits,RSHR,RSRBI,RSSB,RSBA,RSOPS
Christian Arroyo\arroych01,1,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,-0.04,-0.50%,57,164,22,43,6,25,1,.262,.769
Xander Bogaerts\bogaexa01,1,2,2,1,0,0,1,2,2,1,.500,.750,2.000,2.750,0,0,0,0.17,1.95%,144,529,90,156,23,79,5,.295,.863
Ryan Brasier\brasiry01,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,2,0,0,0,0,0,0,,
Bobby Dalbec\dalbebo01,1,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,-0.05,-0.59%,133,417,50,100,25,78,2,.240,.792
Rafael Devers*\deverra01,1,2,1,0,0,0,0,0,2,1,.000,.500,.000,.500,0,0,0,0.01,0.15%,156,591,101,165,38,113,5,.279,.890
Nathan Eovaldi\eovalna01,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,1,2,1,0,0,0,0,.000,.333
Enrique Hernandez\hernaen02,1,3,1,1,0,0,0,0,1,0,.333,.500,.333,.833,0,0,0,0.01,0.05%,134,508,84,127,20,60,1,.250,.786
Tanner Houck\houckta01,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,1,1,0,0,0,0,0,.000,.000
Kevin Plawecki\plaweke01,1,2,0,1,1,0,0,0,0,0,.500,.500,1.000,1.500,0,0,0,-0.01,-0.09%,64,157,15,45,3,15,0,.287,.737
Hunter Renfroe\renfrhu01,1,3,0,1,0,0,0,0,1,2,.333,.500,.333,.833,0,0,0,0.01,0.05%,144,521,89,135,31,96,1,.259,.816
Hansel Robles\robleha01,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,*4,0,0,0,0,0,0,,
Kyle Schwarber*\schwaky01,1,3,2,1,0,0,1,1,1,0,.333,.500,1.333,1.833,0,0,,0.05,0.58%,*113,399,76,106,32,71,1,.266,.928
Travis Shaw*\shawtr01,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,,-0.02,-0.19%,*84,220,20,44,9,39,0,.200,.659
Christian Vazquez\vazquch01,1,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0.00,0.00%,138,458,51,118,6,49,8,.258,.659
Alex Verdugo*\verdual01,1,4,0,2,1,0,0,3,0,0,.500,.500,.750,1.250,0,0,0,0.06,0.67%,146,544,88,157,13,63,6,.289,.777
Garrett Whitlock\whitlga01,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0.00,0.00%,4,2,0,1,0,0,0,.500,1.000
